LOCATIONID,POINT1,POINT2,POINT3,POINT4
CLASSROOM,248'-0 1/4", 79'-10 3/16",248'-0 1/4", 101'-11 1/2",262'-1 3/4", 101'-11 1/2",262'-1 3/4", 79'-10 3/16"
S4,222'-5 9/16", 85'-6 9/16",222'-5 9/16", 112'-0 9/16",223'-8 9/16", 112'-0 9/16",223'-8 9/16", 85'-6 9/16"
S40,112'-10 7/8", 149'-8 5/16",112'-10 7/8", 150'-11 5/16",140'-10 7/8", 150'-11 5/16",140'-10 7/8", 149'-8 5/16"
S41,112'-10 7/8", 155'-11 5/16",112'-10 7/8", 157'-2 5/16",140'-10 7/8", 157'-2 5/16",140'-10 7/8", 155'-11 5/16"
S42,112'-10 7/8", 157'-4 5/16",112'-10 7/8", 158'-7 5/16",140'-10 7/8", 158'-7 5/16",140'-10 7/8", 157'-4 5/16"
S43,114'-8 15/16", 166'-0 13/16",114'-8 15/16", 193'-2 13/16",116'-8 15/16", 193'-2 13/16",116'-8 15/16", 166'-0 13/16"
S44,116'-8 15/16", 166'-0 13/16",116'-8 15/16", 193'-2 13/16",118'-8 15/16", 193'-2 13/16",118'-8 15/16", 166'-0 13/16"
S45,123'-2 7/8", 166'-0 13/16",123'-2 7/8", 192'-6 13/16",124'-5 7/8", 192'-6 13/16",124'-5 7/8", 166'-0 13/16"
S46,124'-7 9/16", 166'-0 13/16",124'-7 9/16", 192'-6 13/16",125'-10 9/16", 192'-6 13/16",125'-10 9/16", 166'-0 13/16"
S47,130'-10 11/16", 166'-0 1/4",130'-10 11/16", 192'-6 1/4",132'-1 11/16", 192'-6 1/4",132'-1 11/16", 166'-0 1/4"
S48,132'-3 3/8", 166'-0 1/4",132'-3 3/8", 192'-6 1/4",133'-6 3/8", 192'-6 1/4",133'-6 3/8", 166'-0 1/4"
S49,138'-6 3/4", 165'-10 3/16",138'-6 3/4", 192'-6 1/4",139'-9 3/4", 192'-6 1/4",139'-9 3/4", 165'-10 3/16"
S5,216'-8 9/16", 85'-6 5/8",216'-8 9/16", 112'-0 5/8",217'-11 9/16", 112'-0 5/8",217'-11 9/16", 85'-6 5/8"
S50,139'-11 3/8", 165'-10 3/16",139'-11 3/8", 192'-6 1/4",141'-2 3/8", 192'-6 1/4",141'-2 3/8", 165'-10 3/16"
S51,146'-11 3/16", 166'-0 1/4",146'-11 3/16", 192'-6 1/4",148'-2 3/16", 192'-6 1/4",148'-2 3/16", 166'-0 1/4"
S52,148'-3 7/8", 166'-0 1/4",148'-3 7/8", 192'-6 1/4",149'-6 7/8", 192'-6 1/4",149'-6 7/8", 166'-0 1/4"
S53,155'-2 11/16", 166'-0 1/4",155'-2 11/16", 192'-6 1/4",156'-5 11/16", 192'-6 1/4",156'-5 11/16", 166'-0 1/4"
S54,156'-7 3/8", 166'-0 1/4",156'-7 3/8", 192'-6 1/4",157'-10 3/8", 192'-6 1/4",157'-10 3/8", 166'-0 1/4"
S55,163'-6 13/16", 166'-0 1/4",163'-6 13/16", 192'-6 1/4",164'-9 13/16", 192'-6 1/4",164'-9 13/16", 166'-0 1/4"
S56,164'-11 13/16", 166'-0 1/4",164'-11 13/16", 192'-6 1/4",166'-2 13/16", 192'-6 1/4",166'-2 13/16", 166'-0 1/4"
S57,171'-10 11/16", 166'-0 1/4",171'-10 11/16", 192'-6 1/4",173'-1 11/16", 192'-6 1/4",173'-1 11/16", 166'-0 1/4"
S58,173'-3 5/16", 166'-0 1/4",173'-3 5/16", 192'-6 1/4",174'-6 5/16", 192'-6 1/4",174'-6 5/16", 166'-0 1/4"
S59,178'-6 5/8", 166'-0 1/4",178'-6 5/8", 192'-6 1/4",179'-9 5/8", 192'-6 1/4",179'-9 5/8", 166'-0 1/4"
S6,215'-3 15/16", 85'-6 5/8",215'-3 15/16", 112'-0 5/8",216'-6 15/16", 112'-0 5/8",216'-6 15/16", 85'-6 5/8"
S60,179'-11 5/16", 166'-0 1/4",179'-11 5/16", 192'-6 1/4",181'-2 5/16", 192'-6 1/4",181'-2 5/16", 166'-0 1/4"
S61,185'-2 9/16", 166'-0 1/4",185'-2 9/16", 192'-6 1/4",186'-5 9/16", 192'-6 1/4",186'-5 9/16", 166'-0 1/4"
S62,186'-7 1/4", 166'-0 1/4",186'-7 1/4", 192'-6 1/4",187'-10 1/4", 192'-6 1/4",187'-10 1/4", 166'-0 1/4"
S63,191'-10 1/2", 166'-0 1/4",191'-10 1/2", 192'-6 1/4",193'-1 1/2", 192'-6 1/4",193'-1 1/2", 166'-0 1/4"
S64,193'-3 3/16", 166'-0 1/4",193'-3 3/16", 192'-6 1/4",194'-6 3/16", 192'-6 1/4",194'-6 3/16", 166'-0 1/4"
S65,198'-6 1/2", 166'-0 1/4",198'-6 1/2", 192'-6 1/4",199'-9 1/2", 192'-6 1/4",199'-9 1/2", 166'-0 1/4"
S66,199'-11 1/8", 166'-0 1/4",199'-11 1/8", 192'-6 1/4",201'-2 1/8", 192'-6 1/4",201'-2 1/8", 166'-0 1/4"
S67,205'-4 7/16", 166'-0 1/4",205'-4 7/16", 192'-6 1/4",206'-7 7/16", 192'-6 1/4",206'-7 7/16", 166'-0 1/4"
S68,206'-9 1/8", 166'-0 1/4",206'-9 1/8", 192'-6 1/4",208'-0 1/8", 192'-6 1/4",208'-0 1/8", 166'-0 1/4"
S69,212'-6 3/8", 166'-0 1/4",212'-6 3/8", 192'-6 1/4",213'-9 3/8", 192'-6 1/4",213'-9 3/8", 166'-0 1/4"
S7,200'-6 11/16", 85'-6 9/16",200'-6 11/16", 112'-0 9/16",201'-9 11/16", 112'-0 9/16",201'-9 11/16", 85'-6 9/16"
S70,213'-11 1/16", 166'-0 1/4",213'-11 1/16", 192'-6 1/4",215'-2 1/16", 192'-6 1/4",215'-2 1/16", 166'-0 1/4"
S71,219'-8 5/16", 166'-0 1/4",219'-8 5/16", 192'-6 1/4",220'-11 5/16", 192'-6 1/4",220'-11 5/16", 166'-0 1/4"
S72,221'-1", 166'-0 1/4",221'-1", 192'-6 1/4",222'-4", 192'-6 1/4",222'-4", 166'-0 1/4"
S73,226'-10 5/16", 166'-0 1/4",226'-10 5/16", 192'-6 1/4",228'-1 5/16", 192'-6 1/4",228'-1 5/16", 166'-0 1/4"
S74,228'-2 15/16", 166'-0 1/4",228'-2 15/16", 192'-6 1/4",229'-5 15/16", 192'-6 1/4",229'-5 15/16", 166'-0 1/4"
S75,234'-0 1/8", 166'-0 1/4",234'-0 1/8", 192'-6 1/4",235'-3 1/8", 192'-6 1/4",235'-3 1/8", 166'-0 1/4"
S76,235'-4 3/4", 166'-0 1/4",235'-4 3/4", 192'-6 1/4",236'-7 3/4", 192'-6 1/4",236'-7 3/4", 166'-0 1/4"
S77,213'-11 9/16", 152'-3 7/16",213'-11 9/16", 153'-6 7/16",227'-11 9/16", 153'-6 7/16",227'-11 9/16", 152'-3 7/16"
S78,213'-11 9/16", 150'-10 7/16",213'-11 9/16", 152'-1 7/16",227'-11 9/16", 152'-1 7/16",227'-11 9/16", 150'-10 7/16"
S79,213'-11 9/16", 126'-11 7/16",213'-11 9/16", 128'-2 7/16",227'-11 9/16", 128'-2 7/16",227'-11 9/16", 126'-11 7/16"
S8,199'-2", 85'-6 9/16",199'-2", 112'-0 9/16",200'-5", 112'-0 9/16",200'-5", 85'-6 9/16"
S80,213'-11 9/16", 125'-6 7/16",213'-11 9/16", 126'-9 7/16",227'-11 9/16", 126'-9 7/16",227'-11 9/16", 125'-6 7/16"
S81,207'-8 1/4", 125'-6 7/16",207'-8 1/4", 153'-6 7/16",208'-11 1/4", 153'-6 7/16",208'-11 1/4", 125'-6 7/16"
S82,206'-3 9/16", 125'-6 7/16",206'-3 9/16", 153'-6 7/16",207'-6 9/16", 153'-6 7/16",207'-6 9/16", 125'-6 7/16"
S83,199'-6", 125'-6 7/16",199'-6", 153'-6 7/16",200'-9", 153'-6 7/16",200'-9", 125'-6 7/16"
S84,198'-1 5/16", 125'-6 7/16",198'-1 5/16", 153'-6 7/16",199'-4 5/16", 153'-6 7/16",199'-4 5/16", 125'-6 7/16"
S85,191'-4", 125'-6 7/16",191'-4", 153'-6 7/16",192'-7", 153'-6 7/16",192'-7", 125'-6 7/16"
S86,189'-11 5/16", 125'-6 7/16",189'-11 5/16", 153'-6 7/16",191'-2 5/16", 153'-6 7/16",191'-2 5/16", 125'-6 7/16"
S87,182'-8 5/16", 125'-5 1/8",182'-8 5/16", 133'-5 1/8",183'-11 5/16", 133'-5 1/8",183'-11 5/16", 125'-5 1/8"
S88,181'-3 5/16", 125'-5 1/8",181'-3 5/16", 133'-5 1/8",182'-6 5/16", 133'-5 1/8",182'-6 5/16", 125'-5 1/8"
S89,175'-0 5/16", 125'-5 1/8",175'-0 5/16", 133'-5 1/8",176'-3 5/16", 133'-5 1/8",176'-3 5/16", 125'-5 1/8"
S9,193'-4 11/16", 85'-6 7/16",193'-4 11/16", 112'-0 7/16",194'-7 11/16", 112'-0 7/16",194'-7 11/16", 85'-6 7/16"
S90,173'-7 5/16", 125'-5 1/8",173'-7 5/16", 133'-5 1/8",174'-10 5/16", 133'-5 1/8",174'-10 5/16", 125'-5 1/8"
S91,153'-7 5/16", 125'-6 1/8",153'-7 5/16", 126'-9 1/8",169'-1 5/16", 126'-9 1/8",169'-1 5/16", 125'-6 1/8"
S92,153'-7 5/16", 126'-11 1/8",153'-7 5/16", 128'-2 1/8",169'-1 5/16", 128'-2 1/8",169'-1 5/16", 126'-11 1/8"
S93,153'-7 5/16", 133'-8 5/16",153'-7 5/16", 134'-11 5/16",169'-1 5/16", 134'-11 5/16",169'-1 5/16", 133'-8 5/16"
S94,153'-7 5/16", 135'-1 5/16",153'-7 5/16", 136'-4 5/16",169'-1 5/16", 136'-4 5/16",169'-1 5/16", 135'-1 5/16"
